id,Product,Language,Market,Entry_Date,Ticker,Name,Exit_Date,Position,Outcome,Initial_Inv,ROI,ReCap,Youtube,Podcast
1,Investment Journal,en,Public,9/13/2021,DYNT,Dynatronics Corporation,10/14/2021,500,,,80%,www.bufintech.com/en/money-making/investing/public/20210913/20210913_DYNT_en.pdf,,
2,Investment Journal,en,Private,9/3/2021,RAMP,Ramp Business Corporation,9/3/2021,1000,,,120%,www.bufintech.com/en/money-making/investing/private/20210903/20210903_RAMP_en.pdf,,
